web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1557098429-30","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Coinbase says CTO Balaji Srinivasan is leaving; source: Srinivasan was not given enough freedom and had differing visions for the future product roadmap (@fintechfrank / The Block)

http://www.theblockcrypto.com/2019/05/03/coinbase-cto-balaji-srinivasan-is-leaving-the-cryptocurrency-exchange/ …http://www.techmeme.com/190503/p18#a190503p18 …","","5","16","1556929883000","6:01 AM - 4 May 2019","/Techmeme/status/1124471546716860416"
"1557098429-106","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","IDC: 310.8M smartphones were shipped in Q1, down 6.6% YoY; Samsung was the top vendor with 23.1% marketshare, followed by Huawei with 19% and Apple with 11.7% (@epro / VentureBeat)

http://venturebeat.com/2019/04/30/idc-smartphone-shipments-q1-2019/ …http://www.techmeme.com/190430/p63#a190430p63 …","","4","6","1556671864000","6:21 AM - 1 May 2019","/Techmeme/status/1123389337377419264"
"1557098429-26","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","CirrusMD, a ""chat-first"" virtual care provider that connects patients with doctors, raises $15M Series B led by Drive Capital (@kyle_l_wiggers / VentureBeat)

http://venturebeat.com/2019/05/02/telemedicine-startup-cirrusmd-raises-15-million-to-connect-patients-with-doctors/ …http://www.techmeme.com/190502/p9#a190502p9 …","","2","2","1556804775000","7:16 PM - 2 May 2019","/Techmeme/status/1123946807850086401"
"1557098429-22","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","An oral history of Amazon Prime, the internet's most successful membership program with 100M+ members worldwide and one of the main reasons behind Amazon's rise (@delrey / Vox)

http://www.vox.com/recode/2019/5/3/18511544/amazon-prime-oral-history-jeff-bezos-one-day-shipping …http://www.techmeme.com/190503/p7#a190503p7 …","","4","7","1556896280000","8:41 PM - 3 May 2019","/Techmeme/status/1124330605762744320"
"1557098429-103","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Hackers are actively exploiting a recently-patched zero-day vulnerability in Oracle WebLogic server to install ransomware, with no end-user interaction required (@dangoodin001 / Ars Technica)

http://arstechnica.com/information-technology/2019/04/zeroday-attackers-deliver-a-double-dose-of-ransomware-no-clicking-required/ …http://www.techmeme.com/190501/p7#a190501p7 …","1","11","5","1556703077000","3:01 PM - 1 May 2019","/Techmeme/status/1123520255530340353"
"1557098429-75","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Google will open Android Automotive OS, the dashboard-centric version of its mobile platform, to third-party developers, starting with media apps at I/O (@c_davies / SlashGear)

http://www.slashgear.com/google-android-automotive-os-polestar-2-third-party-apps-developers-io19-01575253/ …http://www.techmeme.com/190501/p28#a190501p28 …","","8","6","1556733073000","11:21 PM - 1 May 2019","/Techmeme/status/1123646068607127552"
"1557098429-111","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Google launches CallJoy, a virtual customer service agent aimed at small US businesses, available now on an invite-only basis (@sarahintampa / TechCrunch)

http://techcrunch.com/2019/05/01/google-launches-calljoy-a-virtual-customer-service-phone-agent-for-small-businesses/ …http://www.techmeme.com/190501/p25#a190501p25 …","","5","14","1556729778000","10:26 PM - 1 May 2019","/Techmeme/status/1123632247385595904"
"1557098429-91","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","LG's mobile division continues its slide into irrelevance with Q1 loss of $181M on sales of just $1.34B, down 30% YoY and its lowest in at least eight years (@jonrussell / TechCrunch)

http://techcrunch.com/2019/05/01/lg-mobile-still-losing-money/ …http://www.techmeme.com/190502/p5#a190502p5 …","","3","2","1556801493000","6:21 PM - 2 May 2019","/Techmeme/status/1123933042916122631"
"1557098429-58","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","OurPact says Apple's MDM comments are misleading, compares Apple's claims in defense of removing apps that use MDM with quotes from Apple's documentation (OurPact)

http://medium.com/@ourpactapp/there-used-to-be-an-app-for-that-41344f61fb6f …http://www.techmeme.com/190501/p44#a190501p44 …","1","4","5","1556761576000","7:16 AM - 2 May 2019","/Techmeme/status/1123765617587367936"
"1557098429-108","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Facebook shared far-right activist ban info with some news outlets before ban was in place, letting Alex Jones and others redirect followers to other platforms (@robaeprice / Business Insider)

https://www.businessinsider.in/Facebook-tried-to-turn-a-ban-of-far-right-figures-into-a-PR-opportunity-but-it-backfired/articleshow/69153387.cms …http://www.techmeme.com/190502/p20#a190502p20 …","1","1","4","1556830579000","2:26 AM - 3 May 2019","/Techmeme/status/1124055039214006272"
"1557098429-50","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Technisys, which provides a digital banking software platform, raises $50M Series C led by Riverwood Capital (@angelicamari / ZDNet)

http://www.zdnet.com/article/banking-software-firm-technisys-seeks-global-expansion/ …http://www.techmeme.com/190501/p15#a190501p15 …","","1","","1556718077000","7:11 PM - 1 May 2019","/Techmeme/status/1123583171327557632"
"1557098429-80","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Flashpoint says April Wipro attack was done by hackers who may have been operating under the radar since '15, have the hallmarks of an advanced, organized group (@wirelesswench / Threatpost)

http://threatpost.com/wipro-attackers-under-radar/144276/ …http://www.techmeme.com/190502/p2#a190502p2 …","","6","7","1556779891000","12:21 PM - 2 May 2019","/Techmeme/status/1123842434553851905"
"1557098429-82","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","CipherTrace: at least $356M of cryptocurrencies were stolen from exchanges in Q1 2019; cross-border payments from US exchanges are up 46% in past two years (@dcanellis / The Next Web)

http://thenextweb.com/hardfork/2019/05/01/cryptocurrency-stolen-first-quarter-2019-hack/ …http://www.techmeme.com/190501/p29#a190501p29 …","","5","3","1556735178000","11:56 PM - 1 May 2019","/Techmeme/status/1123654898602663937"
"1557098429-64","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","At F8, Mark Zuckerberg left out the fact that users are already moving towards more private sharing while discussing Facebook's privacy-focused next chapter (@caseynewton / The Interface)

http://www.getrevue.co/profile/caseynewton/issues/at-f8-facebook-focuses-on-privacy-and-little-else-175975 …http://www.techmeme.com/190430/p65#a190430p65 …","","8","13","1556676663000","7:41 AM - 1 May 2019","/Techmeme/status/1123409465972330497"
"1557098429-96","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Innisfil, Ontario, which in 2017 decided to subsidize Uber rides in lieu of a public bus system, has been forced to raise fares and cap rides as adoption grows (@mslaurabliss / CityLab)

http://www.citylab.com/transportation/2019/04/innisfil-transit-ride-hailing-bus-public-transportation-uber/588154/ …http://www.techmeme.com/190504/p2#a190504p2 …","2","2","8","1556968585000","4:46 PM - 4 May 2019","/Techmeme/status/1124633876012441601"
"1557098429-102","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Zenoti, which develops a spa and salon management platform, raises $50M Series C led by Tiger Global, bringing the total raised to $71M (@tomkrazit / GeekWire)

http://www.geekwire.com/2019/seattles-zenoti-raises-50m-increase-adoption-management-software-spas-salons/ …http://www.techmeme.com/190501/p23#a190501p23 …","","","6","1556728273000","10:01 PM - 1 May 2019","/Techmeme/status/1123625935708803073"
"1557098429-45","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Document from May 2017 shows ICE used Palantir's software to target and arrest parents and other relatives of unaccompanied minors crossing the US-Mexico border (Mijente)

http://mijente.net/2019/05/02/palantir-arresting-families/ …http://www.techmeme.com/190502/p24#a190502p24 …","","5","1","1556838974000","4:46 AM - 3 May 2019","/Techmeme/status/1124090248818982913"
"1557098429-95","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Facebook CTO Mike Schroepfer and others on AI techniques and progress in identifying image, video, and multi-lingual text content violating Facebook's rules (@kyle_l_wiggers / VentureBeat)

http://venturebeat.com/2019/05/01/believe-it-or-not-facebook-is-using-ai-to-reduce-abuse-and-bias/ …http://www.techmeme.com/190501/p32#a190501p32 …","","1","7","1556738174000","12:46 AM - 2 May 2019","/Techmeme/status/1123667461746905088"
"1557098429-88","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Microsoft launches Azure Blockchain Services, a fully managed service meant to help businesses build applications on top of blockchain technology (@fredericl / TechCrunch)

http://techcrunch.com/2019/05/02/microsoft-launches-a-fully-managed-blockchain-service/ …http://www.techmeme.com/190502/p21#a190502p21 …","","2","6","1556832692000","3:01 AM - 3 May 2019","/Techmeme/status/1124063899672883217"
"1557098429-37","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Sean Parker-backed Brigade says civic issues service Countable has acquired its IP, deletes ""non-essential"" user data, open sources voter file matching software (@joshconstine / TechCrunch)

http://techcrunch.com/2019/05/01/brigade-countable/ …http://www.techmeme.com/190501/p43#a190501p43 …","","4","3","1556757373000","6:06 AM - 2 May 2019","/Techmeme/status/1123747990403993600"
"1557098429-46","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","FreightHub, which offers transport services for sea, air, and rail freight built on digitized processes, raises $30M Series B led by Rider Global, Maersk Growth (@sohear / TechCrunch)

http://techcrunch.com/2019/05/02/freighthub-b/ …http://www.techmeme.com/190502/p7#a190502p7 …","","1","1","1556802680000","6:41 PM - 2 May 2019","/Techmeme/status/1123938020812558337"
"1557098429-77","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Facebook says users will be able to send chat messages across Messenger, Instagram, and WhatsApp in the future (@nicole / Engadget)

http://www.engadget.com/2019/04/30/facebook-will-let-users-chat-across-messenger-instagram-and-wha/ …http://www.techmeme.com/190501/p3#a190501p3 …","1","5","8","1556688986000","11:06 AM - 1 May 2019","/Techmeme/status/1123461153500422149"
"1557098429-112","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Indian media group Times Internet reports 450M+ monthly users across its ~36 news, video, and music properties, says its biggest challenge is increasing revenue (@refsrc / TechCrunch)

http://techcrunch.com/2019/04/30/indias-times-internet-isnt-ceding-ground-to-us-rivals-facebook-and-google/ …http://www.techmeme.com/190501/p6#a190501p6 …","","7","9","1556697380000","1:26 PM - 1 May 2019","/Techmeme/status/1123496361591279616"
"1557098429-5","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Jack Dorsey has emerged as a lifestyle guru in Silicon Valley, raising demand for near-infrared saunas, meditation retreats, cryotherapy spas, and fasting tools (@nelliebowles / New York Times)

http://www.nytimes.com/2019/05/02/fashion/jack-dorsey-influencer.html …http://www.techmeme.com/190503/p16#a190503p16 …","11","13","25","1556922683000","4:01 AM - 4 May 2019","/Techmeme/status/1124441351188303873"
"1557098429-65","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Around 20 security experts have united with http://Securepairs.org  to support right-to-repair legislation with expert witnesses at hearings across the US (@lmatsakis / Wired)

http://www.wired.com/story/right-to-repair-security-experts-california …http://www.techmeme.com/190501/p18#a190501p18 …","1","4","5","1556720790000","7:56 PM - 1 May 2019","/Techmeme/status/1123594550847725568"
"1557098429-61","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Golden, a Wikipedia-like ""knowledge base"" built by artificial and human intelligence focused on emerging tech and startups, raises $5M seed from a16z and others (@anthonyha / TechCrunch)

http://techcrunch.com/2019/04/30/golden-launch/ …http://www.techmeme.com/190502/p1#a190502p1 …","","4","17","1556772376000","10:16 AM - 2 May 2019","/Techmeme/status/1123810914384347136"
"1557098429-66","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Sources: Google is rapidly adding retailers to Google Express, tests showing product recommendations and prices with an option to buy under YouTube videos (@priyasideas / The Information)

http://www.theinformation.com/articles/googles-new-plan-to-challenge-amazon-for-shoppers …http://www.techmeme.com/190503/p10#a190503p10 …","1","1","8","1556903485000","10:41 PM - 3 May 2019","/Techmeme/status/1124360827799244801"
"1557098429-23","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Researchers link 6 software supply chain attacks, including backdoors in CCleaner and Asus' software update tool, to a group of likely Chinese-speaking hackers (@a_greenberg / Wired)

http://www.wired.com/story/barium-supply-chain-hackers …http://www.techmeme.com/190503/p15#a190503p15 …","","6","7","1556919383000","3:06 AM - 4 May 2019","/Techmeme/status/1124427507565043712"
